,бій,"Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій"
,імʼя,Маркевич Олексій,Мерзликін Олександр,Островський Володимир,Шляхов Євген,Вахрів Тарас,Мартиненко Андрій,Грищук Андрій,Онскуль Ілья,Печерога Володимир,Муатс Адлен,Голуб Едуард,Данченко Андрій,Кудрявцев Олександр,Литвинов Дмитро,Комар Наталья,Цуркан Роман,Місяць Іван,Кучерова Ксенія,Гурт Євгеній,Рудик Юрій,Тищенко Микита,Омельченко Олег,Самохін Ігор,Дем'яненко Олександр,Синєока Галина,Ковалів Богодар,Чирков Олексій,Садок Микита ,Цвяк Ігор,Маландіна Вікторія,Винокуров Олексій,Штефан Андрій,Колесник Андрій,Польовий Ярослав,Монастирьова Анна,Павлов Олег,Вандинський Віктор,Руденко Андрій,Любчик Марія,Глінкіна Юлія,Грабовський Іван,Романчук Ігор,Гранік Михайло,Лавренюк Денис,Назаровець Антон,Осадчий Михайло,Пажун Олексій,Меженський Олег,Хохлов Вадим,Мозяж Олег,Вдовиченко Олексій,Трайдук Наталія,Муха Павло,Куліш Олександр,Байдюк Софія,Сільвестров Олексій,Гахун Андрій,Малюх Тарас,Філатов Євген,Мирошниченко Лада,Кальмук Марта,Сметюх Андрій,Плотніков Олексій,Жидких Олексій,Овчаренко Анна ,Соловйов Олег,Синявська Олена,Денисенков Микита,Марков Владислав,Веліков Дмітрій,Макаренко Євген,Удод Олексій,Казача Михайло,Дурбан Вячеслав,Новикова Ольга,Уткін Максим,Новаков Олексій,Луценко Оксана,Медведська Людмила,Скляров Віктор,Мерлян Станіслав,Ладес Мішель,Коберник Михась,Гнідь Микола,Шевчук Тарас,Іванов Володимир,Фея Олег ,Сенчишин Анна-Марія,Єфімов Андрій,Матузевич Поліна,Фомін Олександр,Калініченко Анатолій,Сеньковський Орест,Маєвський Анатолій,Боклаг Євген,Овчарук Дмитро ,Кляусова Олена,Хорошевський Андрій,Щербаков Максим,Буханцов Олексій,Черкасов Сергій,Шевчук Євгенія,Рожкова Аліна,Пасічний Віталій
,примітка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тема,Питання,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. -КОС-,"10. Згідно з дослідженням, проведеним серед військових, ЦЕ ніяк не впливає на фізичну діяльність. Більше того, військові з ЦИМ отримували навіть менше травмувань ніг, ніж усі інші. 

Відповідь: плоскостопість
Залік: (російською) плоскостопие
Форма: ЦЕ
Коментар: тим не менш, у багатьох країнах плоскостопість все ще вважається достатньою причиною щоб уникнути служби в армії. 
Джерело: https://uk.wikipedia.org/wiki/Плоскостопість",,,1,,1,,,,,,1,-1,,,1,,1,,,,-1,-1,,1,,,,1,1,,,-1,1,,,,1,,,,,,1,,-1,1,,,,,,1,1,,,-1,,1,,,,1,,,1,,,,-1,,1,,,1,,,,,,1,1,-1,,,1,,,,1,,,,,1,,,,1,,,,,,1
1. -КОС-,"20. Екологи кажуть, що окрім шумового, ВОНИ здійснюють масоване атмосферне забруднення. Наприклад, одна бензинова ВОНА за годину здатна продукувати стільки ж шкідливих речовин, скільки продукує автомобіль, що проїхав один кілометр. 

Відповідь: газонокосарка
Залік: (російською) газонокосилка; косарка; мотокосарка
Форма: ВОНА
Джерело: https://ru.wikipedia.org/wiki/Газонокосилка",,,1,,,1,,,1,,,-1,,,,1,1,,,,1,,,,,1,,,,,,1,,1,,,,,1,,1,,,,,,1,,,1,,,,,1,,,1,,,1,,,,1,,,,,,,1,,1,-1,,,1,,,,1,,,,1,,,,,,,,1,,,,1,,,,,1,-1
1. -КОС-,"30. У відомому романі автор порівнює діяльність ЦИХ ЛЮДЕЙ із бинтуванням ніг китайських дівчат.

Відповідь: компрачикоси
Форма: ЦИХ ЛЮДЕЙ
Коментар: так Гюго у романі «Людина, яка сміється» називає людей, що викрадали та калічили дітей з метою зробити з них циркових уродів». 
Джерело: https://en.wikipedia.org/wiki/Comprachicos",,1,,,,1,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
1. -КОС-,"40. Після публікації книги «59 ЇХ» група авторів-математиків також випустила додаток, де наводились інструкції зі збирання». 

Відповідь: ікосаедри
Форма: 59 ЇХ
Коментар: у книзі були представлені 59 моделей правильних опуклих зірчастих ікосаедрів. 
Джерело: https://ru.wikipedia.org/wiki/Пятьдесят_девять_икосаэдров",,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1. -КОС-,"50. Під час важливих змагань капітан збірної пообіцяв подарувати ЙОМУ валізу, якщо той переможе. 

Відповідь: [Рене] Лакост
Форма: подарувати ЙОМУ
Коментар: то була не проста валіза, а валіза зі шкіри крокодила. Після цього у відомого тенісиста і з’явилося прізвисько «алігатор». 
Джерело: https://ru.wikipedia.org/wiki/Lacoste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,
2. Зима,"10. Герой картини Арчімбольдо «Зима» –  старий, зображений у вигляді дерева. Шкіра героя нагадує ЇЇ.

Відповідь: кора
Форма: нагадує ЇЇ
Коментар: складки кори нагадують численні зморшки. 
Джерело: https://muzei-mira.com/kartini_italia/2448-zima-dzhuzeppe-archimboldo-opisanie-kartiny.html",,,,1,1,,,,,,-1,1,,1,,,,,,1,,,1,,,,1,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,-1,,,,,,,,,,,1,,
2. Зима,"20. У 2021 році стало відомо, що зокрема через злочини проти людства, скоєні у Сінцзян-Уйгурському регіоні, дипломатичні делегації США та ще кількох країн не з’являться ТАМ. 

Відповідь: Зимові олімпійські ігри 2022
Залік: за згадкою олімпіади та 2022 року або зимової олімпіади та Пекіну
Форма: не з’являться ТАМ
Джерело: https://suspilne.media/187884-uze-cotiri-kraini-ogolosili-diplomaticnij-bojkot-olimpijskih-igor-2022-u-kitai-so-vidomo/",,,1,,,,,1,,1,,,,,,1,,,,1,,1,,,,,1,,,,,1,1,,,,,1,,,1,,,,,1,,,1,,,,,1,,,1,,,,,1,,,,1,,,,,1,,1,,,,1,,,,,1,,,,1,,,,,,1,,,1,,,,,1,,1,,
