,,"Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій"
,,Задворнов Андрій,Маркевич Олексій,Комар Наталья,Данченко Андрій,Мерзликін Олександр,Муатс Адлен,Мартиненко Антон,Цуркан Роман,Литвинов Дмитро,Голуб Едуард,Болган Валерій,Шляхов Євген,Печерога Володимир,Кудрявцев Олександр,Вахрів Ірина,Островський Володимир,Лотник Олександр,Місяць Іван,Винокуров Олексій,Садок Микита ,Кучерова Ксенія,Ковалів Богодар,Дубінська Ольга,Штефан Андрій,Маландіна Вікторія,Чирков Олексій,Каунін Костянтин,Рудик Юрій,Синєока Галина,Цвяк Ігор,Пручковський Микола,Гурт Євгеній,Зацепіна Тоня,Меженський Олег,Павлов Олег,Вдовиченко Олексій,Назаровець Антон,Хохлов Вадим,Трощенко Павло,Монастирьова Анна,Грабовський Іван,Ковриженко Дмитро,Польовий Ярослав,Трайдук Наталія,Романчук Ігор,Колесник Андрій,Пажун Олексій,Пронкевич Костянтин,Любчик Марія,Осадчий Михайло,Мозяж Олег,Мкртчян Александр,Денисенков Микита,Сільвестров Олексій,Макаренко Євген,Овчаренко Анна ,Марков Владислав,Доля Олена,Байдюк Софія,Кальмук Марта,Супрун Євгеній,Куліш Олександр,Удод Олексій,Сметюх Андрій,Муха Павло,Синявська Олена,Міленін Іван,Філатов Євген,Соловйов Олег,Веліков Дмітрій,Копчак Степан,Казача Михайло,Фея Олег ,Гнідь Микола,Дурбан Вячеслав,Ладес Мішель,Акімов Андрєй,Сенчишин Анна-Марія,Іванов Володимир,Коберник Михась,Ковальський Павло,Уткін Максим,Мерлян Станіслав,Шевчук Тарас,Прокопів Володимир,Новикова Ольга,Індоіту Олексій,Єфімов Андрій,Рожкова Аліна,Буханцов Олексій,Матузевич Поліна,Хорошевський Андрій,Лісянський Олександр,Пасічний Віталій,Шевчук Євгенія,Щербаков Максим,Семенова Інна,Калініченко Анатолій,Кляусова Олена,Черкасов Сергій,Войтюк Володимир,Фомін Олександр
,ТИХА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. ТИХА,"10. У відповіді два слова, що починаються однаково. Щоб привернути увагу до об’єкта у Тихому океані, було навіть створено прапор, на якому зображена напівзанурена ВОНА.
 
Відповідь: пластикова пляшка.
Коментар: мова про Велику тихоокеанську сміттєву пляму, площа якої перевищує розміри України.
Джерело: https://nat-geo.ru/planet/tikhookeanskoe-musornoe-pyatno-predlagayut-priznat-gosudarstvom/",,,,1,1,,,,,1,,,,,,,,,,1,,,-1,1,,,,,1,,,,1,,,,1,,,,-1,,,,,,,1,,,,,,,1,1,,,,,,-1,1,1,-1,,,,,,1,,-1,,,-1,,,,1,,,,,,,,,,,,,1,,1,,,-1,,1,,-1
1. ТИХА,"20. Під час однієї з мандрівок Йон Ти́хий відвідав планету Абра́зія, розташовану у ЦЬОМУ СУЗІР’Ї. Після прибуття на планету головного героя відразу поглинула цілковита темрява.
 
Відповідь: Кит.
Коментар: алюзія Стані́слава Лема на біблійного тезку зоряного мандрівника – пророка Йо́ну, який теж опинився у темряві в череві кита.
Джерела: 1. http://loveread.ec/read_book.php?id=50653&p=1
2. https://ru.wikipedia.org/wiki/Иона_(пророк)",,1,,,,,,,-1,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,
1. ТИХА,"30. У присвяченій одному із «шедеврів» Шевченка статті розповідається, як ВІН довго сидів у порожній кімнаті та тихо шепотів вибачення.
 
Відповідь: Алєксандр Філімо́нов. Залік: точна відповідь.
Коментар: голкіпер, який у 1999 році пропустив знаменитий гол зі штрафного від Андрія Шевченка.
Джерело: https://www.sport-express.ru/football/rusteam/reviews/rossiya-ukraina-9-oktyabrya-1999-video-20-let-matchu-oshibka-aleksandra-filimonova-1596143/",1,,,,1,,,,,1,,-1,,,,1,,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1. ТИХА,"40. У вигаданій соцмережі, де зібралися відомі українці різних часів, ВІН, у пошуках натхнення, просить надіслати відео, на якому було б чути тихі звуки листя поширеного в наших краях дерева.
 
Відповідь: Павло Тичи́на. Залік: за прізвищем.
Коментар: поет шукає натхнення, щоб написати вірш:
Ви знаєте, як липа шелестить
у місячні весняні ночі?
Джерела: 1. https://chytomo.com/wp-content/uploads/2021/03/tychyna.jpg
2. http://poetyka.uazone.net/default/pages.phtml?place=tychina&page=tychin32
3. https://uk.wikipedia.org/wiki/Липа",,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1. ТИХА,"50. Потрібна точна відповідь із двох слів. Орнітолог національного науково-природничого музею Леонід Горобе́ць розповів, що кілька років тому на прохання друзів допоміг скласти скелет ЙОГО із залишків кісток звичайної качки.
 
Відповідь: ра́хівський кри́жень. Залік: крижень метушли́вий.
Коментар: герой трагікомедії «Мої думки тихі» намагається вистежити рахівського крижня, щоб записати його голос. Оскільки такого птаха насправді не існує, то знімальна група звернулася за допомогою до професійного орнітолога.
Джерела: 1. https://babel.ua/texts/46396-paleoornitologiv-u-sviti-ne-bilshe-sotni-odin-z-nih-leonid-gorobec-vin-vivchaye-reshtki-doistorichnih-ptahiv-pishe-blog-pro-nauku-i-zibrav-rahivskogo-krizhnya-dlya-filmu-moji-dumki-tihi-os-yogo-istori
2. https://uk.wikipedia.org/wiki/Мої_думки_тихі",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
2. АВТОМАТИ,"10. Надихнувшись ЦИМ ТВОРІННЯМ ЄВРОПЕЙЦЯ, американець Чарлз Го́ппер виготовив «Єгиптянина».
 
Відповідь: «Турок». Залік: шаховий автомат «Турок»; шаховий автомат Ке́мпелена; шаховий автомат.
Коментар: Во́льфґанґ фон Ке́мпелен у другій половині XVIII століття створив шаховий автомат «Турок».
Джерело: https://en.wikipedia.org/wiki/Mechanical_Turk",,,,1,,1,,,,,,1,,1,,,,,1,,,,,1,1,,,,,,,1,,1,,,,,,1,1,,,,,,,,,1,,,,1,,,,1,,,,,1,,1,,,,1,,1,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,1,,,1,,
2. АВТОМАТИ,"20. У музичному кліпі, що був представлений восени минулого року, показаний ігровий автомат, на якому випадають традиційні для слот-машин плоди. Проте одного разу на автоматі несподівано випадають ЦІ ПТАХИ.
 
Відповідь: гуси.
Коментар: «Вишні» та «Гуси» – найвідоміші пісні Вельбо́я.
Джерело: https://www.youtube.com/watch?v=X6eFKOSeICU",,,,,,,,1,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,1,,,,
2. АВТОМАТИ,"30. FARA [фа́ра] – перші автомати ЦІЄЇ КРАЇНИ – пройшли весь цикл розробки дуже швидко. При розробці конструктори використовували в якості зразка нову на той час модель автомата Beretta [бере́тта] 1982 року.
 
Відповідь: Аргентина.
Коментар: Фолкле́ндська війна змусила пришвидшити розробку власної зброї. FARA­ – акронім, останні літери якого означають «республіка Аргентина».
Джерело: https://en.wikipedia.org/wiki/FARA_83",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,-1,,,,,,1,,
