,,Фінал,Фінал,Фінал,Стиковоний бій 1,Стиковоний бій 1,Стиковоний бій 1,Стиковоний бій 2,Стиковоний бій 2,Стиковоний бій 2,Стиковоний бій 2,Стиковоний бій 3,Стиковоний бій 3,Стиковоний бій 3,Стиковоний бій 3,Стиковоний бій 4,Стиковоний бій 4,Стиковоний бій 4,Стиковоний бій 4,Стиковоний бій 5,Стиковоний бій 5
,,Голуб Едуард,Литвинов Дмитро,Островський Володимир,Печерога Володимир,Штефан Андрій,Гурт Євгеній,Пручковський Микола,Назаровець Антон,Куліш Олександр,Гнідь Микола,Дем'яненко Олександр,Філатов Євген,Уткін Максим,Овчарук Дмитро ,Місяць Іван,Шевчук Тарас,Боклаг Євген,Монастирьова Анна,Войтюк Володимир,Лавренюк Денис
,,,,,,,,,,,,,,,,,,,,,
Тема,Питання,,,,,,,,,,,,,,,,,,,,
1. Миші,"10. У 1950 році інженер Клод Ше́ннон створив механічну мишу, що безпомилково знаходила шлях до шматка сиру за допомогою магнітів та схем на вакуумних лампах. Винахідник дав миші ЦЕ ЧОЛОВІЧЕ МІФІЧНЕ ІМ’Я.
Відповідь: Тесей.
Коментар: механічна миша знаходила шлях у лабіринті.
Джерело: https://habr.com/ru/company/cloud_mts/blog/505898/",-1,1,-1,-1,,1,1,,,,,,,1,1,,,,1,
1. Миші,"20. На вулицях деяких європейських міст можна побачити незвичного ЙОГО, зробленого у вигляді кота, який, так би мовити, намагається вполювати одну з чотирьох мишей. Хоча, яка саме миша стане об’єктом полювання в різний час залежить не від кота, а від впливу іншого чинника.
Відповідь: флюгер.
Коментар: миші розташовані на різних сторонах світу. Кіт повертається туди, куди вітер дме.
Джерело: http://tnm.scene7.com/is/image/TNM/1006652001_prod_001?defaultImage=TNM/layer_kein_bild",,,-1,,1,,,,,1,,-1,1,-1,,,-1,1,,
1. Миші,"30. Максим Усачо́в пише, що незвичні комп’ютерні миші для ніг нагадують ЇХ. Інших ЇХ сьогодні близько п’ятдесяти мільйонів.
Відповідь: в’єтнамки.
Коментар: згадані комп’ютерні миші тримаються за допомогою фіксатора, який встромляється між двома найбільшими пальцями ноги. Населення В’єтнаму близько сотні мільйонів.
Джерела: 1. https://new-retail.ru/tehnologii/10_volshebnykh_kompyuternykh_myshek6432/
2. https://uk.wikipedia.org/wiki/В%27єтнамки
3. https://ru.wikipedia.org/wiki/Вьетнам",,,,,,,,,,,,,,,,,1,,,
1. Миші,"40. У сусідній країні ЦИМ СЛОВОМ також називають рід австралійських сумчастих. Автор немов натякає, що сумка – невід’ємний атрибут друїда.
Відповідь: Мишову́р.
Коментар: друїд із циклу «Відьмак». Словом «myszowór» [мишову́р] поляки називають сумчастих мишови́док.
Джерела: 1. https://witcher.fandom.com/wiki/Mousesack
2. https://pl.wikipedia.org/wiki/Myszowór",,,,,,,,,,,,,,,,,,1,,
1. Миші,"50. ЦИМ АНГЛІЙСЬКИМ СЛОВОСПОЛУЧЕННЯМ називається пародійний комікс Зе́йна Ше́лтера у якому безпринципна владолюбна миша досягає найвищого щабля політичної кар’єри.
Відповідь: Mouse of Cards [ма́ус оф кардс]. Залік: синонімічні відповіді, при згадуванні слів «mouse» і «cards».
Коментар: пародія на серіал «Картковий будинок».
Джерела: 1. https://the-toast.net/2015/02/26/mouse-of-cards-cartoons/
2. https://uk.wikipedia.org/wiki/Картковий_будинок_(телесеріал,_США)",,,1,,,,,,,,,,,,,,,,,
2. …АМП… ,"10. ЙОГО також іноді малювали з мішком за спиною. У цьому мішку ВІН мав втопити неслухняних дітей. 
Відповідь: Крампус
Джерело: https://uk.wikipedia.org/wiki/Крампус",,,1,,1,,,,,,1,,,,,,,1,,1
2. …АМП… ,"20. Кора олеандра містить смертельну отруту. Одного разу група туристів загинула під час походу, використавши гілки рослини… В ЯКОСТІ ЧОГО?
Відповідь: шампури
Коментар: вони насадили м’ясо на гілки, і рослина отруїла їжу. 
Джерело: Э. Стюарт, “Коварные растения”",,,,,,,1,,,,1,,,,1,,,,-1,
2. …АМП… ,"30. За словами Філа, ЦЮ НАЗВУ було обрано через те, що впродовж року на території міста фіксується найбільша кількість гроз у Північній Америці. 
Відповідь: Tampa Bay Lightning
Коментар: клуб NHL з Флориди. Згаданий у запитанні Філ Еспозіто – засновник клубу.
",,1,,,,1,1,,,,,,,-1,,,,,,1
2. …АМП… ,"40. ВОНИ мали значний успіх в Європі, а от в Америці, через звинувачення автора у підтримці комунізму, “спалахнули” лише в кількох кінотеатрах. 
Відповідь: Вогні рампи
Коментар: один з пізніх творів Чапліна. 
Джерело: https://en.wikipedia.org/wiki/Limelight_(1952_film)",1,,,1,,,,,,1,,,,1,,,,,1,
2. …АМП… ,"50. ЦЯ НАЗВА зумовлена тим, що до приходу британців на території існував мисливський заповідник королівської родини, де жили кілька видів копитних. 
Відповідь: Кампала
Коментар: назва столиці Уганди походить від слова імпала – “антилопа”. 
Джерело: https://en.wikipedia.org/wiki/Kampala",,,,,,,,,,,,,,,,,,,,
3. Міста,"10. Завдяки ОДНОМУ З НИХ можна дізнатись, що мешканець Макао любить какао, а іншому, що мешканець Алжиру любить інжир.
Відповідь: Лімерик
Коментар: лімерик – жанр віршів, що отримав назву від міста в Ірландії. 
Джерело: https://batheouse.ru/uk/limerik-limerick-poeziya-nonsensa-limerik-literaturnoe.html
Автор: Євген Шляхов (Дніпро)",1,,,,1,,,,,1,,,,,1,,,,1,
